job_type_id, type_name, description, code_id
1, 'update value', 'if a value is updated all the depending results should be calculated again', 'value_update'
2, 'add value', '1. check if used in formulas and if yes, create new formula results\r\n2. calculate the new formula results', 'value_add'
3, 'exclude a value', 'check if used for a formula result and if yes either remove the formula result or update it', 'value_del'
4, 'update formula', NULL, 'formula_update'
5, 'add formula', NULL, 'formula_add'
6, 'exclude formula', NULL, 'formula_del'
7, 'link formula', NULL, 'formula_link'
8, 'unlink a formula', NULL, 'formula_unlink'
9, 'link a word', NULL, 'triple'
10, 'unlink word', NULL, 'word_unlink'
11, 'initial import', 'import the base configuration by a system user on initial setup', 'base_import'
12, 'move to prime', 'move an often used phrase to the prime phrases by creating a clone with a low id and create new links and switch over and remove the old', 'phrase_to_prime'
13, 'move from prime', 'move a less often used phrase to the non prime phrases by creating a clone with a higher id and create new links and switch over and remove the old', 'phrase_from_prime'
14, 'create table', 'create a new table for values and results related to one phrase', 'table_create'
15, 'clone table', 'copy the values and results related to one phrase to another pod', 'table_clone'
16, 'switch table', 'copy the values and results related to one phrase to another pod', 'table_switch'
17, 'sync table', 'force to sync a cloned phrase table with the original pod', 'table_sync'
18, 'remove clone', 'remove a cloned phrase table that is not used very often', 'table_remove'
19, 'delete table', 'remove a phrase table to replace it with a better fitting table', 'table_delete'
20, 'delete word', 'request to completely delete a word which can be done if there are no dependencies any more; may create requests to other users', 'word_delete'
21, 'delete triple', 'request to completely delete a triple which can be done if there are no dependencies any more; may create requests to other users', 'triple_delete'
22, 'import source', 'import all references of a source', 'import_source'
23, 'import reference', 'import a single references', 'import_ref'
24, 'export', 'export data to an api or file', 'export'
