view_type_id, type_name, description, code_id
1, 'standard', 'the base display mask without additional functionalities', 'default'
2, 'entry view', 'these masks are used for the zukunft.com entry page. If a totally new user opens zukunft.com the first time, he will see a random mask of this type.', 'entry'
3, 'edit', 'a edit mask that is used to change data', 'mask_default'
4, 'presentation', 'with auto forward', 'presentation'
5, 'word default', 'a default mask for new words', 'word_default'
6, 'details', 'to show the more details than the standard view', 'detail_view'
7, 'system', 'views used by the system that should only be adjusted by an admin', 'system'
8, 'sub', 'a sub view cannot be linked to a term and is used to group some components and like the same group to several views', 'sub'
9, 'child', 'a child view extends the parent view and add, overwrite or remove some components of the parent view', 'child'
10, 'export', 'export data to other pods or systems', 'export'
11, 'for words only', 'only expected to be used for word objects', 'word'
12, 'for verbs only', 'only expected to be used for verb objects', 'verb'
13, 'for triples only', 'only expected to be used for triple objects', 'triple'
14, 'for sources only', 'only expected to be used for source objects', 'source'
15, 'for references only', 'only expected to be used for ref objects', 'ref'
16, 'for languages only', 'only expected to be used for language objects', 'language'
17, 'for values only', 'only expected to be used for value objects', 'value'
18, 'for formulas only', 'only expected to be used for formula objects', 'formula'
19, 'for results only', 'only expected to be used for result objects', 'result'
